abbreviate	v.缩写；缩短；缩写为；简称
tedious	adj.冗长的；啰嗦的；单调乏味的；令人厌烦的
endorse	v.支持；背书；（在广告中）宣传；（在驾驶执照上）记录违章事项
dilatory	adj.拖拉的；拖延的；延误的
unsound	adj.不稳妥的；观点不正确的；有错误的；靠不住的
droll	n.逗人发笑的人；滑稽演员；小丑adj.离奇可笑的；滑稽古怪的v.开玩笑
conspicuous	adj.易见的；明显的；惹人注意的
novelty	n.新颖；新奇；新鲜；新奇的事物（或人、环境）adj.新奇的；风格独特的
presume	v.假设；假定；设想；（尤指法庭上）推定
cynic	n.愤世嫉俗者；认为人皆自私的人；悲观者；怀疑者adj.同“cynical”；犬儒学派的
antagonize	v.使对立；使生气
ridicule	n.嘲笑；奚落；讥笑v.嘲笑；奚落；讥笑
peripatetic	n.游历；小贩；到处走动；徒步游历者adj.巡回工作的；流动的
protean	adj.多变的；易变的；变幻无常的
hasty	adj.匆忙的；仓促而就的；草率的；仓促行事
numb	adj.麻木的；失去知觉的；迟钝的；呆滞的v.使失去知觉；使麻木；使迟钝
dissimulate	v.掩盖
dissemble	v.掩饰（真实感情或意图）
gregarious	adj.交际的；合群的；群居的
tepid	adj.不冷不热的；微温的；温吞的；不热情的
extol	v.颂扬；赞扬；称赞
sybaritic	adj.贪图享乐的；骄奢淫逸的
sequential	adj.按次序的；顺序的；序列的n.〈美俚〉按期服食的避孕丸
unfettered	adj.无限制的；不受约束的；自由的
multifarious	adj.多种的；各种各样的；多样的
mainstay	n.支柱；中流砥柱
trenchant	adj.尖锐的；有效的；鲜明的
elucidate	v.说明；解释；阐明；阐释
unctuous	adj.谄媚的；油滑的；拍马奉迎的
fraught	adj.充满（不愉快事物）的；焦虑的；忧虑的；担心的n.货物
enlighten	v.启发；开导；阐明
tribute	n.悼念；颂词；致哀；吊唁礼物
dispose	v.布置；安排；排列；使倾向于
haughty	adj.傲慢的；高傲自大的
transitory	adj.暂时的；片刻的；转瞬即逝的
proscribe	v.宣布禁止
paramount	n.最高；有最高权力的人；元首；首长adj.至为重要的；首要的；至高无上的；至尊的
immune	adj.有免疫力；不受影响；受保护；免除n.免疫者
perspicuous	adj.明白易懂的；说话清楚的；〈罕〉聪明的
castigate	v.严厉批评；申斥
contingent	n.代表团；（军队的）分遣队adj.依情况而定的；临时工；临时工作
obsequious	adj.谄媚的；巴结奉迎的
appeal	n.上诉；吸引力；申诉；魅力v.上诉；呼吁；申诉；恳求
bombard	v.轰炸；轰击；大量提问；大肆抨击n.射石炮
empathy	n.共鸣；同情；同感
devastate	v.摧毁；彻底破坏；毁灭；使震惊
virtuosity	n.（表演或演奏方面的）高超技艺
daunt	v.威吓
buoy	n.浮标；航标v.鼓舞；鼓励；使漂浮；使浮起
reticent	adj.寡言少语；不愿与人交谈；有保留
flounder	n.比目鱼；偏口鱼v.不知所措；挠头；支吾；困难重重
originality	n.创意；独创性；独特构思
manifest	v.表明；显现；使人注意到adj.明显的；显而易见的n.旅客名单
ramshackle	adj.摇摇欲坠的；破烂不堪的；组织松散（而不能持久）的；行将瓦解的
instill	v.滴注；慢慢灌输
pragmatic	n.爱管闲事的人；专断的人；国事诏书；实际家adj.实用的；讲求实效的；务实的
constrict	v.约束；（使）紧缩；限制；限定
reprehensible	adj.不道德的；应受指责的；应受谴责的
gamut	n.全部；全范围
conform	v.遵守；相一致；顺从；相符合
fickle	adj.易变的；无常的；反复无常的
prolific	adj.多产的；创作丰富的；丰硕的；多育的
subterfuge	n.（通常指欺骗性）秘密手段；诡计
meretricious	adj.华而不实的；虚有其表的；金玉其外的
tenuous	adj.脆弱的；微弱的；缥缈的；纤细的
nonchalant	adj.若无其事的；冷静的；漠不关心的
collegiate	adj.大学的；学院的；大学生的；分为学院的n.学院[高等学校,大学]学生
harbinger	v.预示；为…作先驱n.兆头
splenetic	n.生脾病的人；脾气坏的人；脾病药adj.脾气坏的；常发怒的
cosmopolitan	adj.世界性的；全球各国的；有各国人的；受各国文化影响的n.周游世界的人
salient	adj.最重要的；显著的；突出的n.凸角；【建】突出部
iconoclast	n.批评传统信仰（或习俗、思想）的人；反传统者
abandon	v.放弃；抛弃；废弃；遗弃n.放肆；狂热；任性；恣意任性
fraudulent	adj.欺骗的；欺诈的
pristine	adj.崭新的；清新的；未开发的；处于原始状态的
affect	v.影响；侵袭；假装；使感染n.【心】情感；【数】偏差
outlandish	adj.稀奇古怪的；异国风味的
premature	adj.未成熟的；过早的；提前的；早产的n.早产的婴儿；过早爆发的炮弹；过早发生的事物
overstate	v.夸大；夸张；言过其实
stint	v.吝惜；节省n.从事某项工作（或活动）的时间
apolitical	adj.不关心政治的；不重视政治的；与政党无关的
feign	v.假装
exposition	n.阐述；（产品的）展销；商品交易会；产品博览会
entice	v.诱使；引诱
exuberant	adj.精力充沛的；热情洋溢的；兴高采烈的；繁茂的
subvert	v.颠覆；暗中破坏；使背叛；使变节
synthesis	n.综合；结合；综合体；（物质在动植物体内的）合成
palpable	adj.易于察觉的；可意识到的；明显的
repository	n.仓库；贮藏室；存放处；学识渊博的人
encyclopedic	adj.百科全书的；百科知识的；包含各种学科知识的；知识渊博的
sagacious	adj.精明练达的；洞察事理的
consonant	n.辅音；辅音字母（如 b、c、d、f 等）adj.和谐的
peripheral	n.外部设备；计算机外围设备；附加设备；辅助设备adj.周围的；外围(的)；外设的；外表面的
dissonant	adj.【乐】不协和的；刺耳的；不调和的；不一致的
recalcitrant	adj.不守规章的；不服从指挥的；桀骜不驯的；难以控制的
predilection	n.偏爱；喜爱；钟爱
unalloyed	adj.纯真的；纯粹的
entail	v.需要；牵涉；使必要n.限定继承权；预定继承人的顺序
verify	v.核实；证实；证明；查对
garrulous	adj.（尤指在琐事上）饶舌的
disconcert	v.使不安；使困惑；使尴尬
dull	v.减轻；（使）变麻木；使迟钝；使不活泼adj.枯燥无味的；沉闷的；无聊的；不明亮的
apathy	n.冷漠；淡漠
impetus	n.动力；推动；促进；刺激
demur	v.表示反对；提出异议；拒绝n.反对
indolent	adj.懒惰的；懒散的；好逸恶劳的
facetious	adj.乱引人发笑的；不问场合耍聪明的
coagulate	v.(使)凝结；(使)成一体；凝聚；使…凝固n.凝块；凝聚体
judicious	adj.审慎而明智的；明断的；有见地的
meddle	v.干预；干涉；管闲事；瞎搞
wary	adj.（对待人或事物时）小心的
exultant	adj.欢欣鼓舞的；兴高采烈的；得意扬扬的
promulgate	v.传播；颁布；传扬；宣传
chic	n.时髦；〈外,口〉(美术上的)独创风格adj.时髦的；优雅的；雅致的
moralistic	adj.是非观念坚定的；道学的；说教的
florid	adj.红润的；过分装饰的；过多修饰的
prepossessing	adj.外表吸引人的；妩媚的；漂亮的
delimit	v.界定；定…的界限；限定
tactic	n.策略；战术
aphorism	n.格言；警句
discursive	adj.东拉西扯的；离题的；不着边际的
sloth	n.懒散；树懒（南美洲热带动物，行动缓慢）；怠惰
watershed	n.分水岭；转折点；分水线；分水界
extenuate	v.掩饰(坏事)；(用借口来)减轻(罪过)；藐视；〈古〉使细弱
fulminate	n.【化】雷酸盐；雷汞v.愤怒谴责；怒斥
dismantle	v.拆开；取消
mold	n.模具；霉；霉菌；铸模v.塑造；对…影响重大；将…塑造成；吻合abbr.(=mould)
awry	adj.歪斜的adv.扭曲地
vile	adj.糟糕透顶的；可恶的；极坏的；邪恶的
countermand	n.(下反对命令)取消(前一命令)；撤回；改变定货v.(下反对命令)取消(前一命令)；调回；改变定货
cripple	n.跛子；残疾人；瘸子；伤残人v.使残废；使跛；使成瘸子；严重毁坏（或损害）
modish	adj.时髦的；流行的
eloquence	n.口才；雄辩；雄辩术；修辞法
viable	adj.可实施的；切实可行的；可生存的；能独立发展的
pluralism	n.多元化
interloper	n.闯入者；干涉者
gaiety	n.快乐；愉快；高兴
withstand	v.承受；经受住；抵住；顶住
covenant	n.协议；公约；(上帝对信徒的)圣约v.缔结盟约
foil	n.箔；【船】(船艇的)水翼；陪衬物；【体】花剑v.衬托；阻止；挫败；【猎】搅乱
purview	n.权限；(法令等的)范围；视界；【法】要项
compartmentalize	v.划分；分隔；隔开
deterministic	adj.确定性；决定性的；必然
grandiloquent	adj.卖弄辞藻的；言辞浮夸的
callow	adj.幼稚无经验的；未谙世事的n.〈外〉低湿的牧场
dormant	adj.休眠的；蛰伏的；暂停活动的
animadversion	n.批评
primeval	adj.远古的；原始的；出于原始天性的
spendthrift	adj.乱花钱的；浪费的n.花钱无度的人；挥霍者
aspire	v.渴望（成就）；有志（成为）
substratum	n.（尤指岩石或土壤的）下卧层；底土层
oracle	n.预言；先知；神谕；(古希腊的)神谕宣示所
arrest	n.逮捕；拘捕；停止；中止v.逮捕；阻止；拘留；中止
feat	n.功绩；技艺；武艺；英勇事迹adj.灵巧的；整洁的；合适的
expurgate	v.删除…中的不当之处；略去…中的不雅之处
attune	v.调(音)；使调和
frail	adj.瘦弱的；易损的；易碎的n.少妇；灯心草篓；灯心草篓的容量
stupefy	v.使惊讶（或惊呆、思维不清、神志不清）
corpus	n.语料；文集；〈正式〉全集；【语】语料库
inborn	adj.天生的；先天的
ecumenical	adj.基督宗教合一的；大公的
degenerative	adj.退行性的
ignoble	adj.卑劣的；不诚实的；不光彩的
nefarious	adj.罪恶的；不道德的
incalculable	adj.极大的；不可计算的；不可估量的
interminable	adj.冗长的；没完没了的
boo	int.（对演员、讲话者等表示不满）嘘；（惊吓他人的声音）乒n.粉蓝烟草；〈美俚〉大麻v.发嘘声；喝倒彩
hermetic	adj.密封的；不透气的；封闭的；不受外界影响的
miscellaneous	adj.混杂的；各种各样的
elliptical	adj.省略的；隐晦的；椭圆的；椭圆形的
lapse	v.失效；期满终止；衰退；衰弱n.疏忽；小错；（两件事发生的）间隔时间；行为失检
sacred	adj.上帝的；神的；神圣的；受尊重的
enumerate	v.枚举；列举
instigate	v.煽动；鼓动；使（正式）开始；使发生
putative	adj.推定的；认定的；公认的
invective	n.辱骂；咒骂adj.诽谤的
slump	n.衰退；锐减；萧条期v.猛跌；重重地坐下（或倒下）
preconceived	adj.事先形成的；预想的
nominal	adj.名义上的；有名无实的；很小的；象征性的n.名词性的词
caterwaul	n.猫的叫春声v.（猫）号叫
episodic	adj.偶尔发生的；不定期的；由松散片段组成的；有许多片段的
conversant	adj.通晓的；熟悉的
bane	n.祸根
compliment	v.赞美；称赞；钦佩n.称赞；赞扬；致意；问候
betoken	v.预示；表示
commendation	n.赞扬；称赞；嘉许；赞成
sententious	adj.多格言警句的；（尤指）说教式的
cult	n.崇拜；（有极端宗教信仰的）异教团体；宗教习俗adj.受特定群体欢迎的；作为偶像崇拜的
gild	n.同“guild”；(互助性质的)协会；同业公会；【植】依赖植物集团v.使如金子般生光（或生辉、生色）；给…镀金；涂金于
supple	v.使柔软；使顺从；驯(马)；变柔软adj.灵活的；柔韧性好的；易弯曲的；柔韧的
ration	n.定量；（给战士或食品短缺地区的人提供的）定量口粮；正常量；合理的量v.配给；限定…的量；定量供应
reckon	v.认为；想；估计；计算
snob	n.势利小人；谄上欺下的人；自以为优越的人；自命高雅的人
adulterate	v.掺假adj.搀假的；伪的；通奸的
revamp	v.〈非正式〉改造；修改；翻新；修补n.改造；〈非正式〉改组；改建
superstition	n.迷信；迷信观念（或思想）
dogma	n.教条；信条；教义；教理
compensate	v.补偿；弥补；给（某人）赔偿（或赔款）
encapsulate	v.压缩；简述；概括
flagrant	adj.骇人听闻的；公然的；罪恶昭彰的
paralyze	na.“paralyse”的变体
importunate	adj.再三要求的；纠缠不休的
muse	v.沉思；冥想；沉思地自言自语n.（作家、画家等的）灵感；创作冲动的源泉
sardonic	adj.轻慢的；轻蔑的；嘲弄的
dodge	v.避开；躲开；闪开；（尤指不诚实地）逃避n.推脱的计策；逃避的诡计；骗人的伎俩
actionable	adj.可予起诉的；可提起诉讼的
radicalism	n.激进主义
distend	v.肿胀
conspiracy	n.密谋策划；阴谋
inveigle	v.引诱；哄骗；骗取
annotate	v.注释
pellucid	adj.清澈的；清晰的
stymie	v.阻碍；阻挠；阻止；妨碍n.(=stimy)妨碍(计划等)  阻碍
outstrip	v.超过；胜过；超越；比…大（或重要等）
braggart	n.吹牛大王；自吹自擂者adj.自夸自大的
disjointed	adj.脱节的v.disjoint的过去式和过去分词形式
tweak	n.拧；扭；扯；（对机器、系统等的）轻微调整v.拧；扭；扯；稍稍调整（机器、系统等）
plague	n.瘟疫；死亡率高的传染病；祸患v.困扰；折磨；给…造成长时间的痛苦（或麻烦）；使受煎熬
ruthless	adj.残酷无情的；残忍的
maroon	n.褐红色；紫褐色；（海上作为信号的）鞭炮adj.紫褐色的；褐红色的v.困住；使无法逃脱
dwarf	n.侏儒；矮子；（神话中会魔法的）小矮人v.使显得矮小；使相形见绌adj.矮小的
diurnal	adj.日间活动的；昼行性的；周日的n.日记；【宗】每日祈祷书
rive	v.撕开；拧去 (from； away； off)；使烦恼；分裂n.裂罅；碎片
euphonious	adj.悦耳的；动听的；和谐的
compulsory	adj.（因法律或规则而）必须做的
succumb	v.屈服；屈从；抵挡不住（攻击、疾病、诱惑等）
lush	adj.多汁的；味美的；青葱的；草木茂盛的n.酒；醉汉v.(使)喝醉
snappish	adj.爱咬人的(狗等)；暴躁的
inherit	v.继承（金钱、财产等）；经遗传获得（品质、身体特征等）
overwrought	adj.过度紧张的；过分忧烦的；紧张激动的
aver	v.断言；确认
forsake	v.抛弃；摒弃
unflappable	adj.镇定的
defame	v.诬蔑；诽谤；中伤
harrowing	adj.恐怖的；令人肠断的；使人十分难过的
renegade	n.叛徒；叛逆者；背叛者；变节者v.变节；脱党；背教adj.变节的
additive	adj.附加的；【化】加成的；【数】加法的；加性的n.（尤指食品的）添加剂
cataclysmic	na.“cataclysmal”的变体
polymath	n.博学家；博学大师
capitulate	v.屈从；投降；屈服
synopsis	n.提要
bemuse	v.使迷迷糊糊；使发呆；使着迷
levelheaded	adj.头脑冷静的；清醒的
prelude	n.前奏；前奏曲；序幕；先声v.开头；为…作序；成为…的前兆；成为…的序曲[序幕]
deify	v.把（某人）奉若神明；把（某人）尊为神；崇拜
scintillating	adj.才华横溢的
brackish	adj.咸的；太咸的
perquisite	n.特权；利益
jurisprudence	n.法学；法律学
untrammeled	na.“untrammelled”的变体
slender	adj.苗条的；纤细的；窄的；微薄的
appurtenance	n.附属物；附加物
fervent	adj.热情的；热忱的；热诚的；热烈的
fertile	adj.肥沃的；富饶的；能生育的；可繁殖的
render	v.提供；给予；提交；翻译n.粉刷；【建】(墙壁的)初涂；抹灰；精制油
absolutism	n.专制制度；专制政体；绝对原则
backtrack	v.原路返回；折回；折返；（屈于压力而）改变声明（或主张）
allure	v.诱惑n.吸引力；诱惑力；引诱力
loophole	n.空子
unitary	adj.集中的；统一的；中央集权制的；单一的
doctrinaire	adj.空谈理论的；脱离实际的；教条主义的n.空谈理论的人
oversight	n.疏忽；失察；忽略；负责
acquisitive	adj.渴求获取财物的；贪婪的
mannered	adj.矫揉造作的；不自然的；态度…的；举止…的
mire	n.淤泥；污辱；酸沼v.使溅满泥泞；使为难；陷入泥坑；进退不得
caveat	n.警告；告诫
prone	adj.易于遭受；有做（坏事）的倾向；有做…倾向的；易于遭受…的
compose	v.组成；作曲；创作（音乐）；撰写（信函、讲稿、诗歌等）
drastic	adj.极端的；急剧的；严厉的；猛烈的
recourse	n.求助；依靠；依赖
munificent	adj.极慷慨的
acme	n.顶点；顶峰；典范
presuppose	v.姑且认为；假设；以…为前提；依…而定
recoil	v.反冲；退缩；畏缩；对…作出厌恶（或恐惧）的反应n.反冲；（尤指枪炮的）后坐力
impart	v.传授；透露；通知；把（某性质）赋予
captious	adj.吹毛求疵的；(评论等)恶意的；强词夺理的
heed	n.注意v.注意
plod	n.劳苦；沉重的脚步[脚步声]v.艰难地行走；吃力地行进
unflinching	adj.不屈不挠的；果敢的；坚定的；不畏缩的
earring	n.耳环；耳饰
Ploy	n.策略；手法；花招；计谋
ethereal	adj.优雅的；轻飘的；缥缈的；超凡的
purport	n.大意；主旨；主要意思v.自称；标榜
vapid	adj.乏味的；枯燥的；愚蠢的
detest	v.讨厌；厌恶；憎恨
etiolate	v.使(叶子等)变白；使变苍白；使衰弱；使(工业等)萎靡
relentless	adj.不停的；持续强烈的；不减弱的；不放弃的
modicum	n.少量
bereaved	adj.丧失亲友的n.死者的亲友
belligerent	adj.好斗的；寻衅的；挑衅的；参战的n.交战国；交战团体
flummox	v.使困惑；使糊涂n.失败
appreciable	adj.足以认为重要的；可观的
anthropogenic	adj.人为的；人类起源的；人类发生的；人类的
sap	n.（植物体内运送养分的）液；笨蛋；易上当的人v.使虚弱；削弱；逐渐破坏abbr.(=semi-armour-piercing)半穿甲
anthropocentrism	n.人类本位说；人类中心论；人类中心说
anthropomorphic	adj.人格化的；拟人化的
embolden	v.鼓励；〈正式〉壮胆子
pejorative	adj.贬损的；轻蔑的n.【语】轻蔑语
chameleon	n.〈比喻〉变色龙；【动】变色龙；变色蜥蜴；反复无常的人
attentive	adj.注意的；专心的；留心的；关心的
scotch	v.挫败；阻止；平息；终止adj.苏格兰(人,语)的；俭约的；节俭的；朴素的n.浅刻；轻伤；玩儿童跳格游戏  时地上划的线；车辖
sleight	n.奸诈；策略；技巧
inordinate	adj.过度的；过分的；超乎预料的
rant	v.咆哮；怒吼；大声抱怨n.怒吼；大话；叫喊；〈英〉欢嚷吵闹
threadbare	adj.穿旧的；磨薄的；破旧的；老一套的
admonish	v.告诫；责备；警告；力劝
occult	adj.神秘的；玄妙的；超自然的；不可思议的v.【天】(使)掩(星)；掩蔽；(使)变暗n.神秘的事物；玄机
atomize	v.使分裂成原子；使粉碎；使成微粒；使雾化
friable	adj.脆的；易碎的；易粉碎的
crab	n.蟹；螃蟹；蟹肉；阴虱病v.捕蟹；用爪抓；使侧航；使斜行
remiss	adj.疏忽；懈怠；玩忽职守
extant	adj.尚存的；现存的
allegory	n.寓言；讽喻；寓言体；讽喻法
wobble	n.摇晃；(失去信心带来的)犹豫；犹豫不决；信心动摇v.摇晃；失去信心；(声音)颤抖；信心动摇
chagrin	n.失望；恼怒；烦恼；懊恼v.使悔恨
omission	n.省略；遗漏；疏忽；删除
otiose	adj.多余的；无用的
polished	adj.抛光的；磨光的；擦亮的；优雅的v.“polish”的过去式和过去分词
epilogue	n.尾声；跋
appetizing	adj.开胃的；引起食欲的；使渴的
predicament	n.困境；尴尬的处境；窘境
simper	n.傻笑；假笑v.矫揉造作地笑；扭捏作态地笑
foreclose	v.（因抵押人未如期还贷）取消（抵押品）赎回权；排除…的可能
redolent	adj.使人想到；使人联想起；有…的强烈气味
proficient	n.专家；能手；老手adj.熟练的；精通的
favoritism	n.徇私
mediate	v.调解；调停；斡旋；找到（解决分歧的）方法adj.要靠媒介的；间接的；〈罕〉中间的
hunch	n.预感；直觉v.弓身；弓背；耸肩
generosity	n.慷慨；宽宏大量；大方
insidious	adj.潜伏的；隐袭的；隐伏的
ravenous	adj.极其饥饿的；严重的；十分的
quaint	adj.稀奇古怪的；古雅的
humdrum	n.单调；无聊的话；无聊的人adj.乏味的；单调的v.单调地动作
quirk	n.怪癖；怪异的性格（或行为）；（尤指偶发的）怪事v.突然扭曲（嘴或眉毛）；撇嘴；扬眉；皱眉
kinetic	adj.运动的；运动引起的
causality	n.因果关系；因果律（或性）
pesky	adj.恼人的；讨厌的
insurrection	n.起义；暴动；叛乱
unseemly	adj.不礼貌的；不得体的；不相宜的
madcap	adj.鲁莽的；狂妄的；不明智的n.鲁莽的人
glean	v.四处搜集（信息、知识等）
dictate	v.决定；口述；支配；强行规定n.规定；命令
narcissistic	adj.自恋的
saddle	n.马鞍；（自行车或摩托车的）车座；（动物的）脊肉v.给（马）备鞍
plume	n.羽毛；飘升之物；翎；（常用作饰物的）连在一起的羽毛v.自夸；借衣服装饰；(鸟)整理(羽毛)；用羽毛装饰
naturalism	n.自然主义（文学、艺术以反映现实为宗旨）
commodify	vt. 使商品化
cater	n.(骰子,纸牌的)四点v.承办餐宴
ebb	v.衰退；落；衰弱；减退n.退潮；落潮
chasten	v.使内疚；使懊悔
feeble	adj.虚弱的；衰弱的；无效的；缺乏决心的
wallow	v.放纵；沉湎；（为保持凉爽或嬉戏在烂泥、水里）打滚n.（在烂泥或水里的）打滚嬉戏
enmity	n.敌意；敌对；仇恨
convivial	adj.（气氛或性格）欢快友好的
tinker	n.补锅匠v.（尤指不起作用地）小修补
augur	v.预示；占卜；预言n.(古罗马的)卜占官；卜占师；预言者
ferret	v.搜寻；用雪貂(把兔等由隐藏处)驱出n.【动物；动物学】(猎兔用的)白鼬
alternate	v.交替；轮流；使交替；使轮流n.代理人；代替者；候补者adj.交替的；轮流的；间隔的；每隔（…天等）的
touchstone	n.试金石；检验标准
euphemism	n.委婉语；委婉说法
conductive	adj.导电（或热等）的；能传导（电、热等）的
slapdash	n.草率；鲁莽；草率做成的东西adj.仓促马虎的；毛躁的；潦草的v.乱做；瞎做；草拟
jovial	adj.快乐的；愉快的；友好的
marshal	n.空军元帅；司仪；典礼官；（美国法院的）执行官v.结集；收集；安排；控制人群
effete	adj.衰弱的；衰败的；丧失权力的；软弱的
sift	v.筛（面粉或颗粒较细的物质）；细查；详审；区分
retreat	v.撤退；退却；后退；退缩n.撤退；退却；退缩；退避
superannuation	n.（通常由原雇主发的）退休金
cavil	v.挑剔；无端抱怨；吹毛求疵n.无端指摘
prurience	n.好色；热望
dabble	v.涉猎；涉足；浅尝；玩水
exonerate	v.宣布（某人）无罪；免除责任
pinnacle	n.顶峰；顶点；鼎盛时期；（建筑物）尖顶v.使成小尖塔形；把…放在高处
somnolent	adj.瞌睡的；困倦的；睡意蒙眬的；催眠的
deadpan	adj.没有表情的adv.没有表情地n.一点也不笑的丑角
inaugurate	v.开创；为（某人）举行就职典礼；为…举行落成仪式（或创建仪式）；引进
subsidiary	n.子公司；附属公司adj.辅助的；附带的；次要的；附属的
exact	adj.精确的；准确的；严谨的；严格的v.要求；索取；迫使；强迫
prestige	n.声望；威望；威信adj.令人敬仰的；受尊重的；重要的；名贵的
strew	v.把…布满（或散布在）；在…上布满（或散播）；撒满；散播在…上
maudlin	adj.（尤指醉酒时）言语伤感的；渲染感情的；煽情的n.脆弱的感情
collective	adj.集体的；共有的；共同的；全体成员的n.企业集团；合作农场；集体企业
expiation	n.抵偿
qualm	n.（对自己行为的）顾虑
enshrine	v.把（法律、权利等）奉为神圣；把…庄严地载入
perfidious	adj.不可信任的；背叛的；不忠的
oratory	n.讲演术；雄辩术；（私人）祈祷室
adjacent	adj.与…毗连的；邻近的
compunction	n.内疚；愧疚
pertinacity	n.顽固
solace	n.安慰；慰藉；给以安慰的人（或事物）v.安慰；缓和；使高兴
remediable	adj.可解决的；可治愈的
turgid	adj.枯燥无味的；晦涩难懂的；肿胀的；膨胀的
lackluster	na.“lacklustre”的变体
intimidate	v.威胁；恐吓
obstreperous	adj.喧闹的；桀骜不驯的；任性的
panoply	n.巨大的数量（或收藏品）
calumny	n.诬蔑；诽谤（的行为）
gamble	n.赌博；冒险；打赌v.打赌；冒风险；碰运气；以…为赌注
spike	n.穗；穗状花序；猛增；尖状物v.用尖物刺入（或扎破）；在…中偷偷掺入（烈酒、毒药或毒品）
shroud	n.寿衣；裹尸布；覆盖物；遮蔽物v.覆盖；隐藏；遮蔽；隐瞒
affinity	n.类同；喜好；喜爱；密切的关系
bizarre	adj.离奇的；奇特的；奇怪的
iridescent	adj.色彩斑斓闪耀的
incessant	adj.不停的；持续不断的
deduce	v.推断；演绎；推论
premise	n.前提；假定v.假定；预述(条件等)；引导(论述等)；提出…作为前提[条件]
cower	v.畏缩
prompt	n.提示；提示符v.提示；促使；激起；导致adj.迅速；敏捷；准时；立即的adv.准时地
hobble	v.蹒跚；跛行；捆绑（马等的）两腿（以防其走失）；阻止n.跛行；韵律不全的诗；马的脚绊；〈口,方〉困境
court	n.法院；宫廷；院子；求婚v.追求；求婚；寻求；吸引
forswear	v.放弃；发誓戒除
freewheeling	n.单向转动；空转；惯性滑行adj.随心所欲的；无拘无束的
preposterous	adj.荒唐的；极不合情理的；怪诞的；离奇古怪的
extrinsic	adj.非固有的；非本质的；外在的；外来的
revisionist	adj.修正主义的n.修正主义者
hamstring	n.腘绳肌腱；大肌腱v.妨碍；使不能正常工作（或行动）
quizzical	adj.诧异的；感到好笑的
outcompete	vt. 超过；(在竞争中)胜出
accrue	v.（逐渐）增长；积累（钱款或债务）
sectarian	n.宗派主义者；某宗派[教派]成员adj.（宗教）教派的
pare	v.削皮；逐步减小（体积或数量）；使缩小；修剪（指甲等）n.佩尔(斯)
disquisition	n.专题演讲；专题论文；专题报告
discordant	adj.不一致的；不协调的；不和的；不和谐的
archive	n.档案；档案馆；档案室v.把…存档；把…归档；将（不常用信息）存档
concordant	adj.一致的；【地】整合的；【乐】协和音的
overthrow	v.推翻；打倒；赶下台n.推翻；打倒
motley	n.莫特利；杂色；(丑角穿的)杂色衣服；穿着杂色衣服的小丑adj.混杂的；杂七杂八的
constitutionality	n.符合宪法
contagious	adj.（疾病）接触传染的；患接触性传染病
brittle	adj.硬但易碎的；脆性的；脆弱的；尖利的n.薄片脆糖v.变脆
limpid	adj.(液体,气体等)清澈的；清澄的；透明的；透光的
gloat	v.幸灾乐祸；沾沾自喜；扬扬得意n.沾沾自喜；得意的注视；爱慕的凝视；垂涎
buffer	v.缓存；保护；减缓（伤害）；使不受…的侵害n.缓冲器；缓冲物；起缓冲作用的人；缓存区
unkempt	adj.不整洁的；凌乱的；不修边幅的
summon	v.召唤；鼓起；召集；传唤
wherewithal	adv.〈古〉同“wherewith”n.（做某事的）所需资金
quiver	v.颤抖；颤动；发抖；打颤n.颤动；箭袋；冷战；箭筒
layperson	abbr.(=layman)
salvation	n.救恩；得救；救世；（危险、灾难、损失等的）避免方式
glib	adj.油腔滑调的；不诚恳的；未经思考的；肤浅的
disputation	n.争论；辩论；讨论
verbal	adj.文字的；言语的；词语的；口头（而非书面）的n.〈美口〉口供；非限定动词；〈罕〉同“verbal noun”
filibuster	v.〈美〉(因发言冗长)妨碍(会议的进程)；掠夺n.（议会中为拖延表决的）冗长演说
affiliate	n.分支机构；分公司；附属机构；分会v.使隶属；加入；与…有关；为…工作
miserly	adj.吝啬的；小气的；极少的；太小的
ponder	v.〈正式〉深思；仔细考虑
stark	adj.了无修饰的；荒凉的；粗陋的；严酷的adv.一丝不挂；赤裸n.斯塔克
unchecked	adj.不加约束的；不受限制的；放任的
oblique	v.倾斜；【军】(成45度)斜进；斜行进adj.斜角；间接的；不直截了当的；拐弯抹角的n.【解】斜肌(尤指腹部的肌肉)；倾斜物；【军】倾斜航空照片adv.【军】以45度角
indignant	adj.愤慨的；愤怒的；义愤的
iniquity	n.很不公正
obeisance	n.景仰；尊敬；忠顺；顺从
ineffable	adj.（美好得）难以形容的
disproportionate	adj.不成比例的；不相称的；太大（或太小）的
monetary	adj.钱的（尤指一国的货币）
prosperity	n.繁荣；兴旺；昌盛
impromptu	n.即席之作；即席演说；即兴演奏；即兴曲adj.即席的；一触即发的adv.临时地
wretched	adj.感到不适的；难受的；不愉快的；极坏的
indelible	adj.无法忘记的；不可磨灭的；（笔迹）无法消除的
laggard	n.迟钝懒散者；迟缓者；涣散的机构adj.落后的
eradicate	v.根除
juvenile	adj.少年的；未成年的；幼稚的；不成熟的n.少年
exterminate	v.消灭；灭绝；根除
palaver	v.闲谈；空谈；哄骗；笼络n.麻烦；琐事；忙乱；空话
unconscionable	adj.违背良心的；过分的；过于大（或多、长等）的
preordain	v.注定；预先安排
boycott	v.抵制；拒绝购买（或使用、参加）n.（对某事物的）抵制
malinger	v.装病（尤指为逃避工作）
raucous	adj.刺耳的；尖厉的
deaden	v.迟钝
invidious	adj.讨厌而不公正的；易引起反感的；招人嫉妒的
